Campeões,Win Rate(%),Pick Rate(%),Ban rate(%),Saturação
Sylas,0.49060000000000004,0.1165,0.1288,0
Syndra,0.5015,0.0429,0.0362,0
Tahm Kench,0.519,0.053200000000000004,0.0472,0
Taliyah,0.5047,0.0115,0.0026,0
Talon,0.5009,0.0281,0.0070999999999999995,0
Taric,0.5304,0.0146,0.0034000000000000002,0
Teemo,0.5178,0.0547,0.10710000000000001,0
Thresh,0.4979,0.11130000000000001,0.043,0
Tristana,0.48369999999999996,0.0446,0.0115,0
Trundle,0.5147999999999999,0.0268,0.009300000000000001,0
Tryndamere,0.4915,0.0256,0.0161,0
Twisted Fate,0.4907,0.019299999999999998,0.0016,0
Urgot,0.5169,0.0255,0.0085,0
Varus,0.48700000000000004,0.0495,0.0066,0
Vayne,0.5097999999999999,0.0548,0.029500000000000002,0
Veigar,0.519,0.054900000000000004,0.028300000000000002,0
Vel'koz,0.5226,0.037599999999999995,0.0109,0
Vex,0.5141,0.0508,0.0863,0
Vi,0.49689999999999995,0.0725,0.014199999999999999,0
Viego,0.5025999999999999,0.1183,0.0709,0
Viktor,0.499,0.0318,0.0062,0
Vladimir,0.5063,0.024399999999999998,0.0217,0
Volibear,0.5133,0.048,0.0331,0
Warwick,,0.0867,0.0739,0
Wukong,0.5211,0.0484,0.0095,0
Xayah,0.502,0.047,0.0072,0
Xerath,0.5129,0.0524,0.0667,0
Xin Zhao,0.5057,0.0414,0.0074,0
Yasuo,0.49200000000000005,0.0984,0.1507,0
Yone,0.4893,0.0987,0.1014,0
Yorick,,0.0421,0.0681,0
Yuumi,0.4707,0.0408,0.0333,0
Zac(top),0.5135000000000001,0.0091,0.004,0
Zed,0.4988,0.0096,0.0242,0
Zeri,0.49119999999999997,0.024399999999999998,0.0036,0
Ziggs,0.5213,0.0239,0.0095,0
Zilean,0.5097999999999999,0.019799999999999998,0.004699999999999999,0
Zoe,0.4842,0.0184,0.0077,0
Zyra,0.5219,0.046900000000000004,0.042199999999999994,0
fizz,0.5074000000000001,0.042800000000000005,0.0688,0
illaoi,0.5143,0.039,0.1257,0
